#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP
1.0,Tyler Tio,FUEL,0.808,0.8,195.0,4.5,6.4,5.3,26.0,0.0,1.8,0.0,19.1,9.3,1.9,172.0,118.5,53.5,16.8,30.2,1.0
2.0,Robert Bolick,NLEX,0.617,0.533,166.4,3.1,12.8,7.8,38.3,10.1,1.2,0.2,31.1,4.8,1.5,126.5,110.4,16.0,220.6,26.6,12.0
3.0,June Mar Fajardo,SMB,0.604,0.551,145.8,14.6,27.0,20.9,13.3,15.3,0.6,3.6,22.9,-2.4,1.5,120.5,102.1,18.4,448.8,23.9,23.0
4.0,CJ Perez,SMB,0.542,0.497,147.3,5.4,16.3,11.0,21.7,8.3,2.7,0.4,29.8,2.7,1.3,116.3,103.5,12.8,317.5,23.4,23.0
5.0,Stephen Holt,DYIP,0.631,0.588,167.2,4.8,16.9,11.1,26.3,13.2,3.2,0.0,21.4,4.1,1.5,127.3,108.3,19.0,260.8,23.0,13.0
6.0,Alec Stockton,XERS,0.602,0.539,171.9,1.8,14.4,8.0,22.2,11.8,1.6,1.6,28.5,-0.4,1.4,116.8,113.0,3.8,137.1,21.5,11.0
7.0,Javier Joaquin Gomez de Liano,DYIP,0.673,0.65,170.9,6.3,16.2,11.4,12.4,14.6,1.4,2.6,22.5,-2.7,1.5,121.8,110.2,11.6,170.5,21.4,14.0
8.0,Ian Paul Sangalang,SHOT,0.576,0.525,128.7,10.7,17.0,13.8,14.8,11.0,0.4,1.9,26.3,-1.8,1.4,116.0,104.6,11.4,139.9,20.7,12.0
9.0,Jeth Troy Rosario,BLAC,0.596,0.542,157.5,10.4,13.0,11.6,13.8,11.6,1.2,1.1,22.9,-0.7,1.5,119.7,108.1,11.6,140.6,20.0,11.0
10.0,Christian Standhardinger,BGK,0.521,0.503,128.0,10.9,18.2,14.6,27.7,12.6,0.7,1.0,28.0,1.1,1.3,108.0,100.6,7.4,305.4,19.9,19.0
11.0,Arvin Tolentino,NPB,0.575,0.494,147.9,3.5,18.5,11.0,20.3,14.0,1.7,3.2,26.2,-0.6,1.5,110.5,106.5,4.0,184.0,19.5,12.0
12.0,Regile Ilagan,BLAC,0.556,0.521,165.9,2.2,19.5,10.2,35.9,13.4,2.9,0.5,22.6,7.1,1.2,114.6,102.7,11.8,79.0,19.4,11.0
13.0,Calvin John Oftana,TNT,0.593,0.562,163.3,5.5,21.6,13.7,13.6,15.1,1.0,1.3,26.8,-4.1,1.3,109.2,106.5,2.8,206.4,18.9,14.0
14.0,Jayson Castro William,TNT,0.552,0.504,147.3,1.3,13.7,7.7,34.0,12.3,1.9,0.5,22.7,7.0,1.3,116.6,107.5,9.1,144.3,18.6,14.0
15.0,Celedonio Trollano,SMB,0.646,0.624,174.6,6.6,16.3,11.6,5.1,8.6,0.6,0.3,18.9,-1.6,1.4,128.1,108.2,19.9,207.9,18.4,23.0
16.0,Justin Arana,XERS,0.61,0.569,124.8,5.4,18.7,12.0,15.5,19.3,0.6,2.5,27.5,-6.8,1.5,105.8,113.3,-7.5,125.6,18.1,11.0
17.0,Dominic Fajardo,NLEX,0.631,0.639,173.1,7.5,12.6,10.0,13.8,9.7,2.6,3.2,16.4,1.5,1.5,125.6,107.2,18.4,70.6,18.1,11.0
18.0,Japeth Aguilar,BGK,0.604,0.554,135.1,6.3,17.9,12.2,4.1,10.8,0.4,4.4,20.7,-3.6,1.4,116.1,99.3,16.8,185.9,17.9,19.0
19.0,Allein Maliksi,MER,0.526,0.478,154.0,2.4,13.6,7.9,12.7,6.1,1.3,1.0,28.7,0.6,1.2,110.8,102.8,8.1,165.4,17.8,26.0
20.0,Cade Flores,NPB,0.729,0.729,161.2,7.5,22.2,14.8,13.9,17.0,2.1,0.6,13.4,0.3,1.7,129.3,105.7,23.6,139.4,17.7,12.0
21.0,Jason Perkins,FUEL,0.61,0.567,170.4,5.5,18.3,12.2,15.9,12.2,0.6,0.5,21.0,0.2,1.4,118.3,109.1,9.2,133.1,17.6,10.0
22.0,Roger Ray Pogoy,TNT,0.574,0.532,164.0,4.0,9.6,6.9,11.2,8.0,0.8,0.8,25.3,-0.4,1.3,116.1,111.0,5.0,134.6,17.5,13.0
23.0,Jayson David,BGK,0.501,0.406,148.6,4.4,8.7,6.5,24.7,4.8,4.5,0.0,19.6,7.8,1.3,121.6,95.2,26.5,15.6,17.5,12.0
24.0,Chris Newsome,MER,0.516,0.432,152.6,3.5,15.3,9.3,22.6,10.4,1.4,1.0,25.2,3.1,1.2,111.1,102.1,9.0,301.0,17.4,26.0
25.0,Leonard Santillan,ROS,0.577,0.543,144.8,6.5,19.0,12.8,13.6,11.6,0.8,0.9,22.4,-0.6,1.4,111.8,106.8,5.0,229.3,17.0,18.0
26.0,Allyn Bulanadi,NPB,0.493,0.43,148.2,2.6,7.3,5.0,19.9,7.1,2.8,0.6,30.4,2.0,1.1,103.1,109.4,-6.3,49.3,16.9,12.0
27.0,John Calma,NPB,0.618,0.585,146.0,14.0,16.9,15.4,10.6,15.2,0.8,0.8,18.7,-2.6,1.3,116.7,104.7,12.0,45.0,16.8,7.0
28.0,John Rodney Brondial,SMB,0.562,0.596,123.2,16.5,17.8,17.1,11.3,10.2,0.9,1.3,13.4,1.9,1.2,127.0,106.1,20.9,114.3,16.6,22.0
29.0,Rey Anthony Suerte,BLAC,0.579,0.583,132.7,1.3,17.1,8.6,21.2,8.6,1.5,2.0,17.7,4.8,1.3,117.4,105.5,11.8,85.9,16.5,11.0
30.0,Mark Borboran,ROS,0.676,0.634,185.1,4.7,14.6,9.7,10.6,10.1,2.2,3.4,12.1,1.6,1.5,131.9,103.0,28.8,95.8,16.5,15.0
31.0,Fredrick Tungcab,BLAC,0.511,0.515,117.3,2.6,15.5,8.5,25.6,13.8,4.2,0.6,24.0,2.5,1.1,101.2,101.3,-0.1,52.8,16.4,10.0
32.0,Zavier Lucero,NPB,0.539,0.504,144.3,7.2,14.3,10.7,12.7,8.8,2.2,3.4,19.9,0.9,1.2,111.6,106.7,4.9,115.4,16.3,12.0
33.0,Gian Robert Mamuyac,ROS,0.556,0.521,132.4,3.4,10.3,6.9,19.3,9.2,2.3,0.9,20.4,3.1,1.3,113.4,106.1,7.3,153.3,16.2,18.0
34.0,Adrian Nocum,ROS,0.533,0.503,142.8,5.1,12.2,8.6,23.7,15.0,2.2,1.1,26.5,-0.3,1.2,101.9,106.4,-4.6,133.0,16.1,17.0
35.0,Deschon Winston,XERS,0.504,0.446,155.1,5.5,17.2,11.3,15.9,10.4,1.7,0.7,24.7,0.0,1.2,105.6,112.7,-7.0,83.4,16.1,11.0
36.0,Rey Nambatac,BLAC,0.483,0.406,140.4,3.9,9.5,6.5,31.4,11.2,2.2,0.0,25.0,6.3,1.2,106.9,107.3,-0.3,81.0,15.8,11.0
37.0,Jayjay Alejandro,FUEL,0.56,0.507,156.6,0.6,10.4,5.7,31.7,14.7,1.7,0.0,23.8,4.0,1.3,110.4,109.3,1.2,58.1,15.7,11.0
38.0,Moala Tautuaa,SMB,0.563,0.536,156.7,8.7,16.6,12.8,9.5,11.7,0.9,2.7,18.1,-0.7,1.3,116.2,105.6,10.6,144.9,15.7,22.0
39.0,Juami Tiongson,DYIP,0.569,0.502,169.1,3.8,9.2,6.6,16.3,14.7,1.2,0.0,26.7,-2.5,1.3,109.0,114.9,-5.9,147.4,15.6,14.0
40.0,Kim Aurin,TNT,0.652,0.628,171.3,2.0,10.0,6.1,10.1,11.7,0.9,1.7,19.0,-1.0,1.5,121.2,109.9,11.3,62.8,15.5,14.0
41.0,Jhonard Clarito,ROS,0.564,0.521,152.8,5.6,15.1,10.4,11.2,9.2,1.1,1.3,21.1,0.0,1.3,112.3,106.8,5.5,144.9,15.4,18.0
42.0,Beau Belga,ROS,0.562,0.548,140.0,2.7,21.3,12.0,26.1,16.7,1.3,1.2,22.6,1.6,1.3,104.7,104.6,0.1,209.6,15.4,18.0
43.0,Raymond Almazan,MER,0.498,0.471,165.6,11.7,23.1,17.3,5.9,7.9,0.6,2.8,19.6,-1.2,1.1,109.7,98.0,11.7,150.6,15.0,23.0
44.0,Aaron Black,MER,0.492,0.482,151.8,2.0,17.6,9.5,24.5,7.2,1.4,0.8,21.9,5.8,1.0,106.6,99.1,7.5,90.4,15.0,10.0
45.0,Aris Dionisio,SHOT,0.601,0.581,180.3,8.2,20.6,14.3,4.0,10.1,1.3,2.2,16.9,-2.2,1.3,119.4,101.9,17.5,66.8,15.0,9.0
46.0,Fran Louie Yu,NPB,0.451,0.377,128.8,2.8,10.4,6.6,37.6,14.3,4.5,0.0,19.7,9.5,1.1,104.2,104.5,-0.2,65.9,14.7,12.0
