#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1.0,Robert Bolick,NLEX,12.0,38.8,28.3,8.7,18.7,0.464,2.6,7.7,0.337,8.4,9.8,0.863,1.1,4.2,5.3,6.6,0.8,0.1,2.6,2.8
2.0,Juami Tiongson,DYIP,14.0,39.7,22.1,7.3,16.9,0.43,2.4,6.7,0.362,5.1,5.6,0.899,1.3,3.4,4.6,3.6,0.9,0.0,3.4,3.2
3.0,Calvin John Oftana,TNT,14.0,36.8,21.9,7.9,16.6,0.476,2.9,7.4,0.385,3.1,4.1,0.772,1.8,7.4,9.2,2.6,0.7,0.5,3.3,2.1
4.0,Christian Standhardinger,BGK,19.0,38.5,21.3,8.4,16.7,0.502,0.1,0.2,0.25,4.5,8.5,0.528,3.8,6.6,10.5,5.0,0.5,0.4,2.9,2.5
5.0,Arvin Tolentino,NPB,12.0,35.6,21.3,6.6,14.6,0.451,1.3,4.9,0.254,6.8,8.8,0.774,1.2,6.2,7.3,4.2,1.3,1.3,3.0,2.3
6.0,Alec Stockton,XERS,11.0,31.9,21.2,7.1,15.0,0.473,2.0,5.0,0.4,5.0,5.9,0.846,0.5,4.3,4.8,3.4,1.0,0.5,2.4,3.1
7.0,Stephen Holt,DYIP,13.0,41.6,21.1,7.4,14.5,0.511,2.2,6.2,0.358,4.1,5.1,0.803,1.7,6.5,8.2,6.3,2.5,0.0,2.5,2.1
8.0,CJ Perez,SMB,23.0,31.4,20.8,7.3,16.4,0.446,1.7,5.3,0.322,4.5,6.3,0.705,1.6,5.0,6.5,3.9,1.6,0.1,1.7,2.9
9.0,Roger Ray Pogoy,TNT,13.0,34.6,20.4,7.2,15.8,0.459,2.3,6.0,0.385,3.6,4.5,0.797,1.2,3.1,4.3,2.1,0.5,0.3,1.5,2.8
10.0,Justin Arana,XERS,11.0,33.5,19.9,7.5,13.1,0.569,0.0,0.0,0.0,5.0,7.4,0.679,1.7,5.8,7.5,2.5,0.4,0.9,3.9,3.6
11.0,Tyler Tio,FUEL,1.0,24.5,19.0,7.0,10.0,0.7,2.0,4.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0
12.0,June Mar Fajardo,SMB,23.0,36.2,18.9,7.0,12.8,0.548,0.1,0.5,0.167,4.8,6.4,0.743,4.9,9.4,14.3,2.9,0.4,1.4,2.8,2.4
13.0,Ian Paul Sangalang,SHOT,12.0,30.4,17.8,6.9,13.2,0.525,0.0,0.0,0.0,4.0,5.3,0.762,2.8,4.3,7.2,2.1,0.3,0.5,1.9,2.7
14.0,Jason Perkins,FUEL,10.0,35.7,17.6,6.6,12.7,0.52,1.2,3.3,0.364,3.2,3.9,0.821,1.7,6.2,7.9,3.1,0.4,0.2,2.0,2.7
15.0,Chris Newsome,MER,26.0,35.9,17.5,5.5,14.4,0.385,1.3,5.0,0.267,5.0,5.8,0.873,1.2,4.8,6.0,4.5,0.9,0.3,2.0,2.9
16.0,Jeth Troy Rosario,BLAC,11.0,32.9,17.4,5.7,11.8,0.485,1.4,3.7,0.366,4.5,6.3,0.725,3.4,3.6,7.0,2.5,0.7,0.4,1.9,2.4
17.0,Leonard Santillan,ROS,18.0,31.8,17.1,5.9,12.4,0.475,1.7,5.4,0.309,3.6,5.4,0.663,2.0,5.8,7.8,2.6,0.5,0.3,1.9,1.7
18.0,Javier Joaquin Gomez de Liano,DYIP,14.0,29.5,16.4,6.1,10.7,0.573,1.6,4.1,0.397,2.4,3.3,0.739,1.6,4.4,5.9,1.9,0.8,0.9,2.1,2.5
19.0,Mark Barroca,SHOT,12.0,34.4,15.4,5.9,14.2,0.418,1.3,4.1,0.306,2.3,3.2,0.737,0.7,3.3,4.0,5.4,1.8,0.2,2.8,3.7
20.0,Beau Belga,ROS,18.0,30.0,14.9,5.4,11.7,0.462,2.0,5.6,0.356,2.2,3.7,0.582,0.8,6.2,6.9,4.8,0.8,0.4,2.7,3.8
21.0,Jamie Orme,BGK,8.0,34.5,14.1,5.4,14.8,0.364,1.8,6.6,0.264,1.6,2.5,0.65,2.5,4.6,7.1,3.3,0.9,0.8,3.3,2.4
22.0,Allein Maliksi,MER,26.0,23.1,13.7,4.9,11.5,0.423,1.3,3.9,0.324,2.7,3.3,0.793,0.5,2.8,3.3,1.5,0.5,0.2,0.8,2.8
23.0,Japeth Aguilar,BGK,19.0,28.2,13.6,5.4,9.7,0.554,0.0,0.2,0.0,2.9,3.6,0.797,1.6,4.8,6.4,0.6,0.2,1.4,1.4,2.5
24.0,Kenneth Tuffin,FUEL,11.0,32.0,12.8,4.4,9.4,0.466,1.7,4.7,0.365,2.4,3.1,0.765,1.2,4.6,5.8,1.9,0.9,0.1,1.9,2.7
25.0,Adrian Nocum,ROS,17.0,22.6,12.8,4.8,10.5,0.461,0.9,2.8,0.313,2.2,3.4,0.655,1.1,2.6,3.8,3.1,1.0,0.3,2.1,2.3
26.0,Celedonio Trollano,SMB,23.0,25.1,12.5,4.7,9.0,0.529,1.7,4.2,0.406,1.3,1.6,0.811,1.5,4.0,5.5,0.8,0.3,0.1,0.9,1.7
27.0,Jayson Castro William,TNT,14.0,25.7,12.4,4.1,9.4,0.439,1.2,3.7,0.327,2.9,4.1,0.707,0.3,3.3,3.6,5.1,0.9,0.1,1.6,1.6
28.0,Maverick Ahanmisi,BGK,19.0,33.5,12.4,3.8,10.9,0.353,1.2,4.2,0.291,3.5,4.8,0.736,2.0,4.6,6.6,3.6,0.5,0.2,1.7,2.3
29.0,Jhonard Clarito,ROS,18.0,24.4,12.4,4.3,9.4,0.459,1.2,3.4,0.339,2.6,3.5,0.73,1.3,3.6,4.9,1.7,0.6,0.4,1.1,2.9
30.0,Bryan Santos,XERS,11.0,32.5,12.3,3.9,9.7,0.402,3.0,7.9,0.379,1.5,1.7,0.842,1.0,3.3,4.3,1.8,0.6,0.5,1.1,3.0
31.0,Gian Robert Mamuyac,ROS,18.0,25.2,12.2,4.6,9.2,0.5,0.4,2.3,0.171,2.6,4.0,0.653,0.8,2.5,3.3,2.9,1.2,0.3,1.1,2.6
32.0,Zavier Lucero,NPB,12.0,26.9,12.1,4.7,9.9,0.471,0.7,2.6,0.258,2.1,2.9,0.714,1.8,3.6,5.4,2.0,1.2,1.0,1.1,3.1
33.0,Christopher Banchero,MER,26.0,29.1,12.0,4.9,11.3,0.432,1.0,3.6,0.29,1.2,1.9,0.633,0.9,3.2,4.1,3.8,0.6,0.0,1.8,2.2
34.0,Kelly Williams,TNT,12.0,28.7,11.8,4.3,10.6,0.402,1.1,4.1,0.265,2.3,3.3,0.675,1.3,6.6,7.8,1.4,0.5,0.1,1.5,2.2
35.0,George Isaac Go,DYIP,14.0,32.1,11.7,4.6,10.8,0.424,1.8,4.9,0.368,0.8,1.4,0.579,1.6,5.4,7.1,1.6,0.5,1.1,2.1,3.7
36.0,Joshua Munzon,NPB,12.0,28.7,11.6,4.2,10.4,0.4,0.9,3.8,0.239,2.3,2.8,0.824,0.8,3.4,4.3,3.6,2.8,0.3,2.1,2.7
37.0,Terrence Romeo,SMB,20.0,22.5,11.6,4.7,12.4,0.379,1.3,4.5,0.289,0.9,1.4,0.63,0.1,1.9,2.0,2.9,0.3,0.1,1.3,1.8
38.0,Marcio Lassiter,SMB,23.0,30.3,11.5,4.0,8.8,0.455,2.6,5.4,0.48,0.9,1.1,0.808,0.5,2.7,3.2,2.0,0.6,0.3,1.0,2.2
39.0,Aaron Black,MER,10.0,27.1,11.4,4.5,11.2,0.402,1.8,4.0,0.45,0.6,0.9,0.667,0.5,4.1,4.6,3.6,0.7,0.2,0.9,1.6
40.0,Rey Nambatac,BLAC,11.0,23.7,11.1,3.5,9.6,0.358,0.9,3.5,0.263,3.3,4.2,0.783,0.9,1.9,2.8,4.4,1.0,0.0,1.5,2.4
41.0,Deschon Winston,XERS,11.0,22.7,11.1,3.7,9.3,0.402,0.8,1.9,0.429,2.8,3.9,0.721,1.2,3.6,4.8,1.9,0.7,0.2,1.3,1.1
42.0,Andrei Caracut,ROS,18.0,27.1,10.9,3.6,9.2,0.388,1.8,5.1,0.352,2.0,3.1,0.643,0.3,1.9,2.3,4.3,0.1,0.1,2.1,1.6
43.0,Anthony Semerad,NLEX,13.0,29.3,10.2,3.4,7.6,0.444,2.0,5.2,0.388,1.5,1.8,0.826,1.1,2.9,4.0,1.0,0.7,0.1,1.2,3.4
44.0,Cade Flores,NPB,12.0,27.0,10.1,4.3,6.0,0.722,0.1,0.3,0.25,1.3,2.1,0.64,1.9,5.6,7.5,2.3,1.2,0.2,1.4,2.9
45.0,Paul Lee Dalistan,SHOT,12.0,28.9,10.0,2.7,8.3,0.323,1.3,5.1,0.262,3.3,3.8,0.889,0.6,3.6,4.2,3.3,0.4,0.1,1.8,2.1
46.0,Kier Quinto,MER,26.0,25.3,9.7,3.6,8.4,0.431,1.2,3.2,0.357,1.3,1.8,0.729,0.7,2.8,3.5,2.2,0.5,0.1,1.5,1.8
47.0,Clifford Hodge,MER,26.0,33.9,9.7,4.2,8.5,0.495,0.0,0.1,0.0,1.3,2.1,0.636,3.5,4.4,7.9,2.2,0.9,1.0,1.7,3.4
48.0,Ricci Paolo Rivero,FUEL,11.0,16.9,9.7,3.0,8.2,0.367,0.5,2.5,0.185,3.3,4.9,0.667,0.6,1.5,2.1,1.5,0.5,0.2,1.2,2.5
49.0,Robbie Herndon,NLEX,12.0,23.3,9.7,3.3,8.3,0.39,2.3,5.4,0.415,0.9,1.7,0.55,0.6,3.6,4.2,1.2,0.5,0.0,0.6,1.2
50.0,R.J. Jazul,FUEL,11.0,20.5,9.6,2.8,7.8,0.36,2.1,6.6,0.315,1.9,2.4,0.808,0.4,1.5,1.9,1.8,0.8,0.0,1.2,1.6
51.0,Aris Dionisio,SHOT,9.0,24.2,9.6,3.4,7.6,0.456,1.9,4.0,0.472,0.8,0.9,0.875,1.7,4.1,5.8,0.6,0.6,0.4,0.9,3.1
52.0,Scottie Thompson,BGK,13.0,37.0,9.5,3.5,10.5,0.336,1.5,4.5,0.322,1.0,1.9,0.52,2.5,5.5,8.0,5.2,2.1,1.0,2.2,2.8
53.0,Jericho Cruz,SMB,21.0,23.6,9.3,3.4,8.5,0.402,0.6,2.7,0.232,1.8,2.2,0.809,0.9,1.8,2.7,1.7,0.6,0.1,1.0,1.9
54.0,Stanley Pringle,BGK,19.0,22.9,9.3,3.7,8.5,0.435,1.5,3.8,0.397,0.4,0.8,0.438,0.6,2.1,2.6,1.7,1.1,0.1,1.2,1.4
55.0,William Raniel Navarro,NPB,10.0,24.8,9.2,3.2,9.1,0.352,0.7,2.7,0.259,2.1,3.2,0.656,2.2,4.9,7.1,1.5,0.4,1.4,1.8,2.7
56.0,Jhan Nermal,NLEX,10.0,16.9,9.2,3.0,8.2,0.366,0.9,2.7,0.333,2.3,3.2,0.719,1.4,1.4,2.8,0.2,0.1,0.2,0.8,1.2
57.0,Christian David,BLAC,11.0,24.7,9.2,3.7,9.4,0.398,1.0,3.9,0.256,0.7,1.5,0.471,1.5,5.0,6.5,1.0,0.5,0.5,1.3,1.1
58.0,Rey Anthony Suerte,BLAC,11.0,21.9,9.0,3.6,7.1,0.513,1.0,2.9,0.344,0.7,1.5,0.471,0.3,3.2,3.5,2.6,0.6,0.5,0.7,1.9
59.0,Allyn Bulanadi,NPB,12.0,13.4,8.6,3.1,7.8,0.398,0.5,2.5,0.2,1.9,2.2,0.885,0.3,0.9,1.3,1.4,0.8,0.1,0.7,0.9
60.0,Javee Mocon,FUEL,11.0,26.5,8.5,3.3,7.5,0.434,0.5,1.5,0.375,1.4,2.1,0.652,1.7,4.7,6.5,2.3,1.7,0.7,2.5,2.3
61.0,Glenn Khobuntin,TNT,14.0,28.0,8.4,3.1,7.6,0.402,1.1,3.6,0.3,1.1,1.9,0.593,1.9,2.8,4.7,1.0,0.2,0.3,1.0,3.1
62.0,Jayjay Alejandro,FUEL,11.0,16.5,8.3,2.6,6.5,0.403,1.4,4.5,0.306,1.6,1.9,0.857,0.1,1.6,1.7,2.9,0.5,0.0,1.3,1.7
63.0,Moala Tautuaa,SMB,22.0,20.3,8.1,3.1,6.4,0.493,0.5,1.4,0.4,1.3,2.0,0.674,1.6,3.3,4.9,1.2,0.4,0.6,1.0,2.7
64.0,James Kwekuteye,BLAC,11.0,17.7,8.1,3.0,7.1,0.423,1.1,3.9,0.279,1.0,1.0,1.0,0.3,1.3,1.5,1.5,0.5,0.1,0.5,1.2
65.0,Raymond Almazan,MER,23.0,21.5,8.0,3.3,7.5,0.439,0.5,1.0,0.458,1.0,1.3,0.759,2.3,4.4,6.7,0.7,0.2,0.6,0.7,3.6
66.0,Louis Cu,BGK,18.0,26.6,7.9,2.8,6.4,0.443,1.9,4.7,0.417,0.3,0.4,0.75,0.7,2.5,3.2,2.4,0.4,0.3,0.9,1.8
67.0,John Calma,NPB,7.0,17.2,7.9,3.4,5.9,0.585,0.0,0.0,0.0,1.0,1.1,0.875,2.3,2.7,5.0,1.0,0.3,0.1,1.1,2.4
68.0,Regile Ilagan,BLAC,11.0,16.5,7.8,2.7,6.5,0.417,1.4,4.2,0.326,1.0,1.1,0.917,0.4,2.7,3.1,3.4,0.9,0.1,1.1,2.0
69.0,Kim Aurin,TNT,14.0,16.0,7.7,2.6,5.3,0.5,1.4,2.9,0.463,1.1,1.4,0.75,0.3,1.5,1.8,0.9,0.3,0.3,0.8,1.7
70.0,Enoch Valdez,NLEX,13.0,19.5,7.7,2.9,7.0,0.418,0.5,2.4,0.194,1.4,2.5,0.545,1.5,2.8,4.3,0.4,0.8,0.2,1.1,1.8
71.0,Keith Datu,ROS,11.0,20.3,7.5,2.5,7.0,0.364,1.1,4.3,0.255,1.4,2.0,0.682,1.5,2.5,4.1,0.9,0.3,0.7,0.6,2.1
72.0,Dominic Fajardo,NLEX,11.0,19.1,7.5,3.0,4.9,0.611,0.3,0.5,0.6,1.2,2.3,0.52,1.3,2.0,3.3,1.4,0.9,0.6,0.6,3.1
73.0,Paul Christian Zamar,NPB,12.0,18.0,7.2,2.4,5.3,0.453,1.3,2.8,0.441,1.1,1.7,0.65,0.8,1.0,1.8,1.7,0.6,0.1,0.8,1.9
74.0,Jiovani Jalalon,SHOT,10.0,21.4,7.1,2.5,6.7,0.373,0.3,1.3,0.231,1.8,2.0,0.9,0.8,3.6,4.4,4.2,1.6,0.0,1.8,3.0
75.0,Fredrick Tungcab,BLAC,10.0,15.1,7.0,2.7,6.5,0.415,1.3,3.4,0.382,0.3,0.8,0.375,0.4,2.0,2.4,2.2,1.2,0.1,1.1,1.7
76.0,Brandon Rosser,TNT,13.0,20.6,6.5,2.2,5.2,0.426,0.2,1.3,0.176,1.8,3.8,0.48,1.5,3.8,5.3,0.8,0.5,1.2,1.1,3.1
77.0,Bradwyn Guinto,BLAC,11.0,22.6,6.4,2.8,5.0,0.564,0.0,0.0,0.0,0.7,1.4,0.533,1.9,3.5,5.4,1.5,0.4,0.5,1.2,3.5
78.0,Michael Miranda,NLEX,12.0,18.5,6.2,2.2,5.0,0.433,1.1,2.1,0.52,0.8,1.0,0.75,0.3,2.7,3.0,0.9,0.2,0.2,0.8,2.8
79.0,Anton Asistio,ROS,16.0,12.0,6.1,2.1,5.6,0.378,1.3,4.1,0.303,0.6,0.8,0.833,0.3,1.0,1.3,1.4,0.4,0.0,0.4,1.2
80.0,Mark Sangalang,DYIP,14.0,17.3,6.0,2.2,4.3,0.517,0.1,0.3,0.25,1.5,2.1,0.724,1.1,2.2,3.3,1.3,0.2,0.3,1.1,2.3
81.0,King Caralipio,XERS,11.0,21.7,6.0,2.2,5.0,0.436,0.8,2.4,0.346,0.8,1.0,0.818,1.8,4.4,6.2,0.9,0.5,0.2,1.1,2.3
82.0,Kemark Carino,DYIP,12.0,21.4,5.8,2.3,5.8,0.4,0.6,2.8,0.206,0.5,0.7,0.75,1.7,2.6,4.3,0.6,0.6,2.2,0.6,3.1
83.0,Richard Rodger,NLEX,10.0,22.4,5.6,1.9,6.1,0.311,0.9,3.7,0.243,0.9,0.9,1.0,0.4,2.7,3.1,1.9,0.5,0.3,0.6,1.4
84.0,Mark Borboran,ROS,15.0,16.3,5.6,2.2,3.7,0.589,0.3,1.0,0.333,0.9,0.9,0.929,0.7,2.3,3.0,1.1,0.7,0.7,0.5,1.1
85.0,Fran Louie Yu,NPB,12.0,15.5,5.4,1.6,5.1,0.311,0.7,3.1,0.216,1.6,2.1,0.76,0.4,1.5,1.9,3.8,1.4,0.0,1.0,2.3
86.0,Shaun Ildefonso,ROS,16.0,11.6,5.4,2.0,4.4,0.457,0.4,1.8,0.25,0.9,1.8,0.517,0.7,1.3,2.0,0.4,0.3,0.3,0.6,0.6
87.0,Joseph Matthew Nieto,NLEX,11.0,20.2,5.3,2.0,5.7,0.349,0.4,2.0,0.182,0.9,1.3,0.714,0.3,1.5,1.7,3.1,0.5,0.0,1.2,1.6
