Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST,BLK,MIN,PTS,REB,STL,AST%,BLK%,DRB%,DRtg,FIC,ORB%,ORtg,PER,PPR,PPS,STL%,TOV%,TRB%,TS%,Total S %,USG%,eDiff,eFG%,20 Ast,20 Reb,40 Pts,5 Blk,5 Stl,Ast/TO,DWS,Dbl Dbl,FT/FGA,HOB,High Game,L's,OWS,Stl/TO,Techs,Tpl Dbl,W's,WS,Win %
Robert Bolick,NLEX,12.0,38.8,28.3,8.7,18.7,0.464,2.6,7.7,0.337,8.4,9.8,0.863,1.1,4.2,5.3,6.6,0.8,0.1,2.6,2.8,79.0,1.0,466.1,340.0,63.0,10.0,38.3,0.2,12.8,110.4,220.6,3.1,126.5,26.6,4.8,1.5,1.2,10.1,7.8,0.617,166.4,31.1,16.0,0.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juami Tiongson,DYIP,14.0,39.7,22.1,7.3,16.9,0.43,2.4,6.7,0.362,5.1,5.6,0.899,1.3,3.4,4.6,3.6,0.9,0.0,3.4,3.2,50.0,0.0,556.2,309.0,65.0,12.0,16.3,0.0,9.2,114.9,147.4,3.8,109.0,15.6,-2.5,1.3,1.2,14.7,6.6,0.569,169.1,26.7,-5.9,0.502,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.0,0.3,0.307,30.0,7.0,1.0,0.3,0.0,0.0,7.0,1.0,0.5
Calvin John Oftana,TNT,14.0,36.8,21.9,7.9,16.6,0.476,2.9,7.4,0.385,3.1,4.1,0.772,1.8,7.4,9.2,2.6,0.7,0.5,3.3,2.1,37.0,7.0,515.8,306.0,129.0,10.0,13.6,1.3,21.6,106.5,206.4,5.5,109.2,18.9,-4.1,1.3,1.0,15.1,13.7,0.593,163.3,26.8,2.8,0.562,0.0,0.0,0.0,0.0,0.0,0.8,0.6,5.0,0.2,0.297,37.0,7.0,0.9,0.2,0.0,0.0,7.0,1.4,0.5
Christian Standhardinger,BGK,19.0,38.5,21.3,8.4,16.7,0.502,0.1,0.2,0.25,4.5,8.5,0.528,3.8,6.6,10.5,5.0,0.5,0.4,2.9,2.5,95.0,8.0,730.7,404.0,199.0,9.0,27.7,1.0,18.2,100.6,305.4,10.9,108.0,19.9,1.1,1.3,0.7,12.6,14.6,0.521,128.0,28.0,7.4,0.503,0.0,0.0,1.0,0.0,0.0,1.7,1.3,12.0,0.5,0.405,41.0,8.0,1.3,0.2,0.0,0.0,11.0,2.6,0.579
Arvin Tolentino,NPB,12.0,35.6,21.3,6.6,14.6,0.451,1.3,4.9,0.254,6.8,8.8,0.774,1.2,6.2,7.3,4.2,1.3,1.3,3.0,2.3,50.0,15.0,427.7,255.0,88.0,15.0,20.3,3.2,18.5,106.5,184.0,3.5,110.5,19.5,-0.6,1.5,1.7,14.0,11.0,0.575,147.9,26.2,4.0,0.494,0.0,0.0,0.0,0.0,0.0,1.4,0.4,2.0,0.6,0.29,31.0,7.0,0.8,0.4,0.0,0.0,5.0,1.3,0.417
Alec Stockton,XERS,11.0,31.9,21.2,7.1,15.0,0.473,2.0,5.0,0.4,5.0,5.9,0.846,0.5,4.3,4.8,3.4,1.0,0.5,2.4,3.1,37.0,6.0,351.1,233.0,53.0,11.0,22.2,1.6,14.4,113.0,137.1,1.8,116.8,21.5,-0.4,1.4,1.6,11.8,8.0,0.602,171.9,28.5,3.8,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Holt,DYIP,13.0,41.6,21.1,7.4,14.5,0.511,2.2,6.2,0.358,4.1,5.1,0.803,1.7,6.5,8.2,6.3,2.5,0.0,2.5,2.1,82.0,0.0,541.0,274.0,106.0,32.0,26.3,0.0,16.9,108.3,260.8,4.8,127.3,23.0,4.1,1.5,3.2,13.2,11.1,0.631,167.2,21.4,19.0,0.588,0.0,0.0,0.0,0.0,1.0,2.5,0.5,6.0,0.4,0.379,32.0,6.0,2.1,1.0,0.0,0.0,7.0,2.6,0.538
CJ Perez,SMB,23.0,31.4,20.8,7.3,16.4,0.446,1.7,5.3,0.322,4.5,6.3,0.705,1.6,5.0,6.5,3.9,1.6,0.1,1.7,2.9,89.0,3.0,722.6,478.0,150.0,37.0,21.7,0.4,16.3,103.5,317.5,5.4,116.3,23.4,2.7,1.3,2.7,8.3,11.0,0.542,147.3,29.8,12.8,0.497,0.0,0.0,0.0,0.0,1.0,2.2,1.0,5.0,0.4,0.291,34.0,6.0,2.4,0.9,0.0,0.0,17.0,3.4,0.739
Roger Ray Pogoy,TNT,13.0,34.6,20.4,7.2,15.8,0.459,2.3,6.0,0.385,3.6,4.5,0.797,1.2,3.1,4.3,2.1,0.5,0.3,1.5,2.8,27.0,4.0,449.5,265.0,56.0,7.0,11.2,0.8,9.6,111.0,134.6,4.0,116.1,17.5,-0.4,1.3,0.8,8.0,6.9,0.574,164.0,25.3,5.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Arana,XERS,11.0,33.5,19.9,7.5,13.1,0.569,0.0,0.0,0.0,5.0,7.4,0.679,1.7,5.8,7.5,2.5,0.4,0.9,3.9,3.6,27.0,10.0,368.0,219.0,83.0,4.0,15.5,2.5,18.7,113.3,125.6,5.4,105.8,18.1,-6.8,1.5,0.6,19.3,12.0,0.61,124.8,27.5,-7.5,0.569,0.0,0.0,0.0,0.0,0.0,0.6,0.1,2.0,0.6,0.294,32.0,9.0,0.5,0.1,0.0,0.0,2.0,0.6,0.182
