Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,GP,#
June Mar Fajardo,SMB,21.0,0.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,0.258,1.0,0.2,0.5,17.0,6.0,0.739,2.8,1.3,4.1,23.0,1
Christian Standhardinger,BGK,12.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.405,1.7,0.2,0.5,11.0,8.0,0.579,1.3,1.3,2.6,19.0,2
Stephen Holt,DYIP,6.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.379,2.5,1.0,0.4,7.0,6.0,0.538,2.1,0.5,2.6,13.0,3
CJ Perez,SMB,5.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,0.0,0.291,2.2,0.9,0.4,17.0,6.0,0.739,2.4,1.0,3.4,23.0,4
Scottie Thompson,BGK,5.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.264,2.3,0.9,0.2,8.0,5.0,0.615,-0.1,1.2,1.1,13.0,5
Calvin John Oftana,TNT,5.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.297,0.8,0.2,0.2,7.0,7.0,0.5,0.9,0.6,1.4,14.0,6
Clifford Hodge,MER,5.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.188,1.3,0.5,0.3,16.0,10.0,0.615,0.9,1.5,2.4,26.0,7
Kelly Williams,TNT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.158,0.9,0.3,0.3,6.0,6.0,0.5,0.0,0.4,0.5,12.0,8
Leonard Santillan,ROS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.223,1.3,0.3,0.4,8.0,10.0,0.444,1.1,0.6,1.6,18.0,9
Beau Belga,ROS,3.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.266,1.8,0.3,0.3,8.0,10.0,0.444,0.5,0.7,1.2,18.0,10
Ian Paul Sangalang,SHOT,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.271,1.1,0.1,0.4,6.0,6.0,0.5,1.0,0.5,1.5,12.0,11
Jason Perkins,FUEL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.276,1.6,0.2,0.3,3.0,7.0,0.3,0.9,0.2,1.2,10.0,12
Japeth Aguilar,BGK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.18,0.4,0.2,0.4,11.0,8.0,0.579,1.1,1.0,2.2,19.0,13
Chris Newsome,MER,2.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.294,2.3,0.5,0.4,16.0,10.0,0.615,1.9,1.5,3.3,26.0,14
Christian David,BLAC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.134,0.8,0.4,0.2,4.0,7.0,0.364,-0.2,0.3,0.1,11.0,15
Arvin Tolentino,NPB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.29,1.4,0.4,0.6,5.0,7.0,0.417,0.8,0.4,1.3,12.0,16
Raymond Almazan,MER,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.119,1.0,0.3,0.2,15.0,8.0,0.652,0.7,1.0,1.7,23.0,17
Cade Flores,NPB,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.178,1.6,0.8,0.3,5.0,7.0,0.417,0.8,0.4,1.2,12.0,18
William Raniel Navarro,NPB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.128,0.8,0.2,0.4,3.0,7.0,0.3,-0.3,0.2,0.0,10.0,19
Javier Joaquin Gomez de Liano,DYIP,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.228,0.9,0.4,0.3,7.0,7.0,0.5,1.3,0.3,1.5,14.0,20
Justin Arana,XERS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.294,0.6,0.1,0.6,2.0,9.0,0.182,0.5,0.1,0.6,11.0,21
Andrei Caracut,ROS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.207,2.1,0.1,0.3,8.0,10.0,0.444,0.1,0.2,0.3,18.0,22
Maverick Ahanmisi,BGK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.226,2.1,0.3,0.4,11.0,8.0,0.579,0.6,1.0,1.6,19.0,23
Rey Nambatac,BLAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.222,3.0,0.7,0.4,4.0,7.0,0.364,0.4,0.2,0.6,11.0,24
Anthony Semerad,NLEX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.134,0.8,0.6,0.2,6.0,7.0,0.462,0.5,0.2,0.7,13.0,25
Robbie Herndon,NLEX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.137,2.0,0.9,0.2,5.0,7.0,0.417,0.3,0.1,0.5,12.0,26
