#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1.0,Tyler Tio,FUEL,1.0,24.5,27.9,10.3,14.7,0.7,2.9,5.9,0.5,4.4,5.9,0.75,1.5,1.5,2.9,5.9,1.5,0.0,0.0,0.0
2.0,Robert Bolick,NLEX,12.0,38.8,26.3,8.0,17.3,0.464,2.4,7.1,0.337,7.8,9.0,0.863,1.0,3.9,4.9,6.1,0.8,0.1,2.4,2.6
3.0,Alec Stockton,XERS,11.0,31.9,23.9,8.0,16.9,0.473,2.3,5.6,0.4,5.6,6.7,0.846,0.6,4.8,5.4,3.8,1.1,0.6,2.7,3.5
4.0,CJ Perez,SMB,23.0,31.4,23.8,8.4,18.8,0.446,1.9,6.0,0.322,5.1,7.3,0.705,1.8,5.7,7.5,4.4,1.8,0.1,2.0,3.3
5.0,Allyn Bulanadi,NPB,12.0,13.4,23.1,8.3,20.8,0.398,1.3,6.7,0.2,5.2,5.8,0.885,0.9,2.5,3.4,3.8,2.0,0.2,1.8,2.5
6.0,Arvin Tolentino,NPB,12.0,35.6,21.5,6.7,14.7,0.451,1.3,5.0,0.254,6.9,8.9,0.774,1.2,6.2,7.4,4.2,1.3,1.3,3.0,2.3
7.0,Justin Arana,XERS,11.0,33.5,21.4,8.0,14.1,0.569,0.0,0.0,0.0,5.4,7.9,0.679,1.9,6.3,8.1,2.6,0.4,1.0,4.2,3.9
8.0,Calvin John Oftana,TNT,14.0,36.8,21.4,7.7,16.3,0.476,2.8,7.3,0.385,3.1,4.0,0.772,1.7,7.3,9.0,2.6,0.7,0.5,3.2,2.0
9.0,Allein Maliksi,MER,26.0,23.1,21.3,7.6,18.0,0.423,2.0,6.1,0.324,4.1,5.2,0.793,0.8,4.3,5.1,2.3,0.8,0.4,1.3,4.3
10.0,Roger Ray Pogoy,TNT,13.0,34.6,21.2,7.5,16.4,0.459,2.4,6.2,0.385,3.8,4.7,0.797,1.3,3.2,4.5,2.2,0.6,0.3,1.6,3.0
11.0,Ian Paul Sangalang,SHOT,12.0,30.4,21.1,8.2,15.6,0.525,0.0,0.0,0.0,4.7,6.2,0.762,3.4,5.1,8.5,2.5,0.3,0.6,2.3,3.2
12.0,Ricci Paolo Rivero,FUEL,11.0,16.9,20.7,6.4,17.4,0.367,1.0,5.2,0.185,7.0,10.5,0.667,1.4,3.1,4.5,3.3,1.2,0.4,2.5,5.2
13.0,Adrian Nocum,ROS,17.0,22.6,20.4,7.7,16.7,0.461,1.4,4.5,0.313,3.6,5.4,0.655,1.8,4.2,6.0,4.9,1.6,0.5,3.4,3.7
14.0,Juami Tiongson,DYIP,14.0,39.7,20.0,6.6,15.3,0.43,2.2,6.1,0.362,4.6,5.1,0.899,1.2,3.0,4.2,3.2,0.8,0.0,3.0,2.9
15.0,Javier Joaquin Gomez de Liano,DYIP,14.0,29.5,20.0,7.5,13.1,0.573,2.0,5.1,0.397,3.0,4.0,0.739,1.9,5.3,7.2,2.4,1.0,1.0,2.5,3.1
16.0,Christian Standhardinger,BGK,19.0,38.5,19.9,7.8,15.6,0.502,0.0,0.2,0.25,4.2,7.9,0.528,3.6,6.2,9.8,4.7,0.4,0.4,2.8,2.4
17.0,Jhan Nermal,NLEX,10.0,16.9,19.6,6.4,17.5,0.366,1.9,5.8,0.333,4.9,6.8,0.719,3.0,3.0,6.0,0.4,0.2,0.4,1.7,2.6
18.0,Leonard Santillan,ROS,18.0,31.8,19.3,6.7,14.0,0.475,1.9,6.1,0.309,4.1,6.2,0.663,2.3,6.6,8.9,3.0,0.6,0.4,2.2,2.0
19.0,Jeth Troy Rosario,BLAC,11.0,32.9,19.0,6.3,12.9,0.485,1.5,4.1,0.366,5.0,6.9,0.725,3.7,4.0,7.7,2.8,0.8,0.4,2.1,2.6
20.0,June Mar Fajardo,SMB,23.0,36.2,18.8,7.0,12.7,0.548,0.1,0.5,0.167,4.8,6.4,0.743,4.8,9.4,14.2,2.9,0.4,1.4,2.8,2.4
21.0,Terrence Romeo,SMB,20.0,22.5,18.5,7.5,19.8,0.379,2.1,7.2,0.289,1.4,2.2,0.63,0.2,3.0,3.1,4.6,0.5,0.1,2.1,2.8
